0 1 1
0 10 1
0 11 2
0 12 2
0 17 1
0 18 1
0 2 1
0 23 1
0 24 2
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 3 1
0 30 2
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 4 1
0 5 1
0 6 2
0 7 1
0 8 1
0 9 1
1 13 1
1 25 2
1 26 2
10 11 1
10 12 2
10 22 1
10 23 1
10 24 3
10 35 2
11 12 1
11 22 1
11 23 1
11 24 2
11 35 2
12 22 2
12 23 1
12 24 1
12 35 3
13 25 1
13 26 1
14 27 1
15 28 1
16 17 1
16 29 1
16 30 2
17 29 1
17 30 1
18 19 1
18 31 1
18 32 2
19 31 1
19 32 1
2 14 1
2 27 2
20 33 1
21 34 1
22 23 1
22 24 2
22 35 1
23 24 1
23 35 1
24 35 2
25 26 1
3 15 1
3 28 2
4 16 1
4 17 1
4 29 2
4 30 3
4 5 1
5 16 1
5 17 1
5 29 2
5 30 2
6 18 1
6 19 1
6 31 2
6 32 3
6 7 1
7 18 1
7 19 1
7 31 2
7 32 2
8 20 1
8 33 2
9 21 1
9 34 2
